cell_id,period,grid_lat,grid_lon,event_count,fatalities_best,fatalities_low,fatalities_high,first_year,latest_year,state_based_events,non_state_events,one_sided_events,source_states,best_source_precision,least_source_precision
ucdp-05deg-4.75-6.25,2016-2025,4.75,6.25,18,32,29,40,2016,2025,0,15,3,Bayelsa,1,2
ucdp-05deg-4.75-6.75,2016-2025,4.75,6.75,21,71,65,124,2016,2025,1,18,2,Rivers,1,3
ucdp-05deg-4.75-7.25,2016-2025,4.75,7.25,21,77,55,137,2017,2025,2,11,8,Abia; Rivers,1,5
ucdp-05deg-4.75-7.75,2016-2025,4.75,7.75,11,33,33,33,2016,2020,0,11,0,Akwa Ibom,1,3
ucdp-05deg-4.75-8.25,2016-2025,4.75,8.25,4,11,11,15,2019,2024,0,2,2,Akwa Ibom; Cross River,1,3
ucdp-05deg-5.25-6.25,2016-2025,5.25,6.25,15,28,23,29,2019,2025,0,13,2,Bayelsa; Delta; Rivers,1,3
ucdp-05deg-5.25-6.75,2016-2025,5.25,6.75,26,96,90,118,2016,2025,3,20,3,Imo; Rivers,1,5
ucdp-05deg-5.25-7.25,2016-2025,5.25,7.25,40,83,81,111,2016,2025,18,9,13,Abia; Imo; Rivers,1,5
ucdp-05deg-5.25-7.75,2016-2025,5.25,7.75,13,40,22,50,2016,2024,11,1,1,Abia; Akwa Ibom,1,4
ucdp-05deg-5.25-8.25,2016-2025,5.25,8.25,6,42,30,131,2017,2025,0,6,0,Akwa Ibom; Cross River,1,5
ucdp-05deg-5.75-5.75,2016-2025,5.75,5.75,8,14,13,14,2016,2025,0,5,3,Delta,1,3
ucdp-05deg-5.75-6.25,2016-2025,5.75,6.25,7,9,9,10,2019,2025,1,3,3,Delta,1,3
ucdp-05deg-5.75-6.75,2016-2025,5.75,6.75,90,256,191,399,2018,2025,67,2,21,Anambra; Imo; Unassigned / offshore,1,5
ucdp-05deg-5.75-7.25,2016-2025,5.75,7.25,83,189,83,257,2019,2025,59,1,23,Abia; Anambra; Imo,1,5
ucdp-05deg-5.75-7.75,2016-2025,5.75,7.75,11,31,22,32,2017,2024,9,2,0,Abia; Ebonyi,1,5
ucdp-05deg-5.75-8.25,2016-2025,5.75,8.25,3,14,14,20,2017,2024,1,1,1,Cross River,1,3
ucdp-05deg-5.75-8.75,2016-2025,5.75,8.75,3,7,7,7,2018,2019,2,1,0,Cross River,3,4
ucdp-05deg-6.25-2.75,2016-2025,6.25,2.75,6,6,6,6,2018,2022,0,5,1,Lagos,1,1
ucdp-05deg-6.25-3.25,2016-2025,6.25,3.25,50,102,100,131,2016,2025,0,36,14,Lagos,1,3
ucdp-05deg-6.25-3.75,2016-2025,6.25,3.75,15,23,22,23,2016,2025,0,12,3,Lagos,1,3
ucdp-05deg-6.25-4.75,2016-2025,6.25,4.75,2,6,1,6,2021,2022,0,2,0,Ondo,1,3
ucdp-05deg-6.25-5.75,2016-2025,6.25,5.75,39,121,119,130,2016,2025,0,37,2,Edo,1,3
ucdp-05deg-6.25-6.25,2016-2025,6.25,6.25,4,6,6,10,2016,2024,1,3,0,Delta,1,3
ucdp-05deg-6.25-6.75,2016-2025,6.25,6.75,55,158,135,203,2016,2025,21,17,17,Anambra; Delta,1,5
ucdp-05deg-6.25-7.25,2016-2025,6.25,7.25,54,107,76,152,2017,2025,25,19,10,Abia; Anambra; Enugu,1,5
ucdp-05deg-6.25-7.75,2016-2025,6.25,7.75,22,47,28,72,2016,2025,10,5,7,Ebonyi; Enugu,1,3
ucdp-05deg-6.25-8.25,2016-2025,6.25,8.25,17,56,41,57,2018,2025,5,10,2,Ebonyi,1,4
ucdp-05deg-6.25-9.25,2016-2025,6.25,9.25,3,12,12,14,2022,2023,1,0,2,Cross River,1,2
ucdp-05deg-6.75-2.75,2016-2025,6.75,2.75,4,5,5,6,2019,2025,0,3,1,Ogun,1,1
ucdp-05deg-6.75-3.25,2016-2025,6.75,3.25,35,73,73,76,2016,2025,0,32,3,Lagos; Ogun,1,3
ucdp-05deg-6.75-3.75,2016-2025,6.75,3.75,51,138,123,155,2016,2025,0,49,2,Lagos; Ogun,1,4
ucdp-05deg-6.75-4.75,2016-2025,6.75,4.75,3,11,11,11,2017,2021,0,3,0,Ondo,1,3
ucdp-05deg-6.75-5.75,2016-2025,6.75,5.75,11,29,29,29,2019,2023,0,11,0,Edo; Ondo,1,3
ucdp-05deg-6.75-6.25,2016-2025,6.75,6.25,3,4,4,4,2020,2024,0,3,0,Edo,1,4
ucdp-05deg-6.75-6.75,2016-2025,6.75,6.75,2,1,0,6,2024,2024,1,0,1,Enugu,1,2
ucdp-05deg-6.75-7.25,2016-2025,6.75,7.25,14,38,34,80,2016,2025,4,8,2,Enugu,1,3
ucdp-05deg-6.75-7.75,2016-2025,6.75,7.75,27,135,128,186,2016,2025,7,20,0,Benue; Ebonyi; Enugu,1,5
ucdp-05deg-6.75-8.25,2016-2025,6.75,8.25,12,120,93,155,2018,2025,0,12,0,Benue; Ebonyi; Unassigned / offshore,1,5
ucdp-05deg-6.75-8.75,2016-2025,6.75,8.75,1,150,150,150,2017,2017,0,1,0,Cross River,3,3
ucdp-05deg-6.75-9.25,2016-2025,6.75,9.25,22,145,135,177,2017,2025,0,22,0,Benue,1,3
ucdp-05deg-6.75-9.75,2016-2025,6.75,9.75,4,23,23,30,2018,2024,0,3,1,Benue; Taraba,1,2
ucdp-05deg-6.75-11.25,2016-2025,6.75,11.25,9,157,157,376,2017,2018,0,9,0,Taraba,1,3
ucdp-05deg-7.25-2.75,2016-2025,7.25,2.75,7,16,16,16,2021,2023,0,6,1,Ogun,1,3
ucdp-05deg-7.25-3.25,2016-2025,7.25,3.25,14,22,22,24,2019,2025,0,14,0,Ogun,1,2
ucdp-05deg-7.25-3.75,2016-2025,7.25,3.75,17,23,22,52,2016,2025,0,16,1,Ogun; Oyo,1,3
ucdp-05deg-7.25-4.25,2016-2025,7.25,4.25,3,2,0,6,2025,2025,0,2,1,Osun,1,3
ucdp-05deg-7.25-4.75,2016-2025,7.25,4.75,10,61,58,63,2017,2025,0,8,2,Ondo; Osun,1,2
ucdp-05deg-7.25-5.25,2016-2025,7.25,5.25,12,54,45,60,2017,2025,0,9,3,Ekiti; Ondo,1,5
ucdp-05deg-7.25-5.75,2016-2025,7.25,5.75,5,57,17,62,2022,2025,0,4,1,Ondo,1,3
ucdp-05deg-7.25-6.25,2016-2025,7.25,6.25,13,29,29,33,2016,2025,3,9,1,Edo,1,3
ucdp-05deg-7.25-6.75,2016-2025,7.25,6.75,2,3,3,3,2020,2020,0,2,0,Kogi,2,2
ucdp-05deg-7.25-7.25,2016-2025,7.25,7.25,11,16,16,25,2019,2023,1,10,0,Enugu; Kogi,1,3
ucdp-05deg-7.25-7.75,2016-2025,7.25,7.75,6,49,34,71,2017,2024,0,6,0,Benue,1,3
ucdp-05deg-7.25-8.25,2016-2025,7.25,8.25,14,65,62,78,2017,2025,0,14,0,Benue,1,3
ucdp-05deg-7.25-8.75,2016-2025,7.25,8.75,4,64,61,91,2018,2025,0,2,2,Benue,3,4
ucdp-05deg-7.25-9.25,2016-2025,7.25,9.25,14,122,122,223,2016,2025,0,12,2,Benue,1,3
ucdp-05deg-7.25-9.75,2016-2025,7.25,9.75,9,86,76,89,2019,2025,0,9,0,Benue; Taraba,1,3
ucdp-05deg-7.25-10.25,2016-2025,7.25,10.25,13,63,57,116,2018,2024,0,13,0,Taraba,1,3
ucdp-05deg-7.75-2.75,2016-2025,7.75,2.75,3,6,6,8,2019,2024,0,3,0,Ogun,3,3
ucdp-05deg-7.75-3.25,2016-2025,7.75,3.25,9,25,21,66,2020,2023,0,6,3,Oyo,1,3
ucdp-05deg-7.75-3.75,2016-2025,7.75,3.75,6,15,15,22,2018,2022,0,5,1,Oyo,1,3
ucdp-05deg-7.75-4.25,2016-2025,7.75,4.25,3,6,1,6,2018,2025,0,1,2,Osun; Oyo,1,3
ucdp-05deg-7.75-4.75,2016-2025,7.75,4.75,24,41,36,48,2019,2025,0,19,5,Osun,1,4
ucdp-05deg-7.75-5.25,2016-2025,7.75,5.25,2,2,2,2,2018,2019,0,2,0,Ekiti,1,2
ucdp-05deg-7.75-5.75,2016-2025,7.75,5.75,5,10,5,10,2018,2022,0,5,0,Ekiti; Kogi; Ondo,1,3
ucdp-05deg-7.75-6.25,2016-2025,7.75,6.25,3,4,4,9,2019,2022,1,0,2,Kogi,1,3
ucdp-05deg-7.75-6.75,2016-2025,7.75,6.75,7,39,22,41,2018,2023,0,5,2,Kogi,1,2
ucdp-05deg-7.75-7.25,2016-2025,7.75,7.25,12,57,38,72,2016,2023,0,12,0,Kogi,1,3
ucdp-05deg-7.75-7.75,2016-2025,7.75,7.75,37,266,250,306,2016,2025,0,37,0,Benue; Kogi; Nasarawa,1,5
ucdp-05deg-7.75-8.25,2016-2025,7.75,8.25,60,364,318,564,2016,2025,0,58,2,Benue; Nasarawa,1,3
ucdp-05deg-7.75-8.75,2016-2025,7.75,8.75,95,430,340,552,2016,2025,0,95,0,Benue,1,5
ucdp-05deg-7.75-9.25,2016-2025,7.75,9.25,77,388,366,401,2016,2025,0,77,0,Benue; Taraba,1,5
ucdp-05deg-7.75-9.75,2016-2025,7.75,9.75,55,496,416,589,2016,2025,0,50,5,Benue; Taraba,1,5
ucdp-05deg-7.75-10.25,2016-2025,7.75,10.25,10,29,15,49,2018,2020,0,10,0,Taraba,2,3
ucdp-05deg-7.75-10.75,2016-2025,7.75,10.75,5,25,24,24,2017,2024,0,5,0,Taraba,1,2
ucdp-05deg-7.75-11.75,2016-2025,7.75,11.75,1,3,3,3,2021,2021,0,1,0,Adamawa,3,3
ucdp-05deg-8.25-3.25,2016-2025,8.25,3.25,2,2,2,2,2023,2025,0,2,0,Oyo,3,3
ucdp-05deg-8.25-4.25,2016-2025,8.25,4.25,8,11,11,13,2020,2025,0,8,0,Kwara; Oyo,1,4
ucdp-05deg-8.25-5.75,2016-2025,8.25,5.75,4,20,16,20,2018,2023,0,4,0,Kogi,1,3
ucdp-05deg-8.25-6.75,2016-2025,8.25,6.75,3,1,1,24,2016,2020,0,3,0,Kogi,1,3
ucdp-05deg-8.25-7.25,2016-2025,8.25,7.25,8,29,16,94,2016,2023,0,8,0,Nasarawa,1,3
ucdp-05deg-8.25-7.75,2016-2025,8.25,7.75,3,48,33,58,2016,2025,0,3,0,Benue; Nasarawa,1,3
ucdp-05deg-8.25-8.25,2016-2025,8.25,8.25,8,76,76,77,2018,2025,0,8,0,Benue; Nasarawa,1,5
ucdp-05deg-8.25-8.75,2016-2025,8.25,8.75,67,344,270,394,2016,2025,0,67,0,Benue; Nasarawa,1,3
ucdp-05deg-8.25-9.25,2016-2025,8.25,9.25,7,36,36,37,2018,2025,0,7,0,Nasarawa; Taraba,1,3
ucdp-05deg-8.25-9.75,2016-2025,8.25,9.75,5,12,12,12,2018,2020,0,5,0,Taraba,1,3
ucdp-05deg-8.25-10.25,2016-2025,8.25,10.25,5,23,23,23,2016,2021,0,5,0,Taraba,1,2
ucdp-05deg-8.25-10.75,2016-2025,8.25,10.75,27,168,169,177,2016,2025,0,26,1,Taraba,1,5
ucdp-05deg-8.75-3.25,2016-2025,8.75,3.25,1,1,1,1,2017,2017,0,1,0,Oyo,2,2
ucdp-05deg-8.75-3.75,2016-2025,8.75,3.75,2,4,4,4,2019,2025,0,1,1,Oyo,1,1
ucdp-05deg-8.75-4.75,2016-2025,8.75,4.75,19,36,30,40,2017,2025,0,18,1,Kwara,1,2
ucdp-05deg-8.75-5.25,2016-2025,8.75,5.25,1,1,1,1,2022,2022,0,1,0,Kwara,4,4
ucdp-05deg-8.75-6.75,2016-2025,8.75,6.75,1,2,2,2,2023,2023,0,1,0,Abuja Federal Capital Territory,3,3
ucdp-05deg-8.75-7.25,2016-2025,8.75,7.25,8,14,14,21,2018,2025,1,7,0,Abuja Federal Capital Territory; Nasarawa,1,3
ucdp-05deg-8.75-8.25,2016-2025,8.75,8.25,5,60,23,60,2016,2023,0,5,0,Nasarawa,1,4
ucdp-05deg-8.75-8.75,2016-2025,8.75,8.75,1,15,15,16,2018,2018,0,1,0,Nasarawa,3,3
ucdp-05deg-8.75-11.25,2016-2025,8.75,11.25,9,38,32,88,2018,2023,0,8,1,Taraba,1,3
ucdp-05deg-9.25-6.75,2016-2025,9.25,6.75,1,1,0,1,2025,2025,0,1,0,Niger,1,1
ucdp-05deg-9.25-7.25,2016-2025,9.25,7.25,2,4,4,5,2022,2022,2,0,0,Abuja Federal Capital Territory; Niger,1,2
ucdp-05deg-9.25-7.75,2016-2025,9.25,7.75,10,96,94,97,2018,2025,0,2,8,Abuja Federal Capital Territory; Nasarawa,1,2
ucdp-05deg-9.25-8.25,2016-2025,9.25,8.25,17,133,120,180,2016,2020,0,17,0,Kaduna,1,3
ucdp-05deg-9.25-8.75,2016-2025,9.25,8.75,27,321,317,353,2016,2025,0,27,0,Plateau,1,5
ucdp-05deg-9.25-9.25,2016-2025,9.25,9.25,39,382,373,412,2018,2025,0,38,1,Plateau,1,3
ucdp-05deg-9.25-9.75,2016-2025,9.25,9.75,3,2,2,4,2017,2022,0,3,0,Plateau,4,4
ucdp-05deg-9.25-10.75,2016-2025,9.25,10.75,1,20,20,20,2023,2023,0,1,0,Taraba,3,3
ucdp-05deg-9.25-11.25,2016-2025,9.25,11.25,13,203,134,225,2018,2025,0,13,0,Taraba,1,3
ucdp-05deg-9.25-11.75,2016-2025,9.25,11.75,27,209,201,244,2017,2019,0,27,0,Adamawa; Taraba,1,3
ucdp-05deg-9.25-12.25,2016-2025,9.25,12.25,15,139,124,157,2016,2024,0,14,1,Adamawa,1,3
ucdp-05deg-9.25-12.75,2016-2025,9.25,12.75,5,21,21,26,2020,2025,0,1,4,Adamawa,4,4
ucdp-05deg-9.75-4.75,2016-2025,9.75,4.75,2,11,11,11,2022,2022,2,0,0,Niger,1,2
ucdp-05deg-9.75-6.25,2016-2025,9.75,6.25,1,4,4,4,2017,2017,0,1,0,Niger,3,3
ucdp-05deg-9.75-6.75,2016-2025,9.75,6.75,1,1,1,1,2023,2023,0,0,1,Niger,1,1
ucdp-05deg-9.75-7.25,2016-2025,9.75,7.25,3,11,11,11,2019,2024,1,0,2,Kaduna; Niger,1,5
ucdp-05deg-9.75-7.75,2016-2025,9.75,7.75,1,2,2,2,2024,2024,0,0,1,Kaduna,3,3
ucdp-05deg-9.75-8.25,2016-2025,9.75,8.25,39,277,201,299,2016,2023,0,39,0,Kaduna,1,5
ucdp-05deg-9.75-8.75,2016-2025,9.75,8.75,163,838,787,1056,2017,2025,0,157,6,Kaduna; Plateau,1,5
ucdp-05deg-9.75-9.25,2016-2025,9.75,9.25,11,52,51,53,2018,2025,0,10,1,Bauchi; Plateau,1,2
ucdp-05deg-9.75-9.75,2016-2025,9.75,9.75,1,1,1,1,2025,2025,0,1,0,Bauchi,3,3
ucdp-05deg-9.75-10.25,2016-2025,9.75,10.25,1,1,1,1,2023,2023,0,1,0,Bauchi,3,3
ucdp-05deg-9.75-11.25,2016-2025,9.75,11.25,1,2,1,5,2024,2024,0,1,0,Gombe,3,3
ucdp-05deg-9.75-11.75,2016-2025,9.75,11.75,13,113,110,124,2018,2025,0,12,1,Adamawa; Gombe,1,3
ucdp-05deg-9.75-12.25,2016-2025,9.75,12.25,8,26,26,30,2017,2022,0,7,1,Adamawa,1,3
ucdp-05deg-9.75-12.75,2016-2025,9.75,12.75,2,15,15,15,2018,2024,0,2,0,Adamawa,3,3
