state,year,event_count,fatalities_best,fatalities_low,fatalities_high,state_based_events,non_state_events,one_sided_events
Abia,2000,3,51,51,453,0,1,2
Abia,2011,1,0,0,2,0,0,1
Abia,2016,3,15,15,15,0,1,2
Abia,2017,1,1,1,1,0,1,0
Abia,2019,2,2,2,2,0,0,2
Abia,2020,3,3,3,3,0,0,3
Abia,2021,4,3,3,19,3,0,1
Abia,2022,4,13,12,17,3,0,1
Abia,2023,4,4,4,7,3,0,1
Abia,2024,14,44,39,50,12,1,1
Abia,2025,3,4,4,9,2,1,0
Abuja Federal Capital Territory,2009,1,3,3,3,0,1,0
Abuja Federal Capital Territory,2011,5,71,71,75,2,0,3
Abuja Federal Capital Territory,2012,2,5,4,5,0,0,2
Abuja Federal Capital Territory,2014,4,119,111,145,1,0,3
Abuja Federal Capital Territory,2015,1,20,20,20,1,0,0
Abuja Federal Capital Territory,2018,2,40,40,40,0,0,2
Abuja Federal Capital Territory,2022,2,3,3,4,2,0,0
Abuja Federal Capital Territory,2023,6,7,7,7,0,3,3
Abuja Federal Capital Territory,2025,3,3,1,3,0,1,2
Adamawa,2003,2,110,110,120,0,2,0
Adamawa,2004,2,162,162,162,1,1,0
Adamawa,2008,3,7,7,7,0,3,0
Adamawa,2009,1,0,0,20,1,0,0
Adamawa,2011,3,29,28,57,2,1,0
Adamawa,2012,18,66,58,88,8,2,8
Adamawa,2013,12,48,48,90,6,2,4
Adamawa,2014,72,1575,1575,1700,26,2,44
Adamawa,2015,44,504,487,862,10,3,31
Adamawa,2016,12,153,153,182,3,4,5
Adamawa,2017,34,269,269,283,9,14,11
Adamawa,2018,34,230,200,308,5,21,8
Adamawa,2019,13,66,66,107,4,4,5
Adamawa,2020,12,99,96,125,6,3,3
Adamawa,2021,6,47,23,71,2,3,1
Adamawa,2022,7,70,70,111,1,5,1
Adamawa,2023,5,112,10,112,2,0,3
Adamawa,2024,5,20,20,21,3,2,0
Adamawa,2025,20,101,93,117,6,4,10
Akwa Ibom,1992,1,0,0,80,0,1,0
Akwa Ibom,1995,1,1,1,1,0,0,1
Akwa Ibom,2000,1,45,45,45,0,1,0
Akwa Ibom,2011,9,15,14,24,0,5,4
Akwa Ibom,2012,1,4,4,4,0,1,0
Akwa Ibom,2016,2,8,8,14,0,2,0
Akwa Ibom,2017,6,34,22,96,0,6,0
Akwa Ibom,2019,2,4,4,4,0,2,0
Akwa Ibom,2020,5,8,8,8,0,5,0
Akwa Ibom,2021,7,24,8,25,6,1,0
Akwa Ibom,2022,1,3,3,30,0,1,0
Akwa Ibom,2023,1,1,1,1,0,0,1
Akwa Ibom,2024,1,2,2,2,0,1,0
Akwa Ibom,2025,1,2,2,2,0,1,0
Anambra,1999,2,420,97,420,0,2,0
Anambra,2000,3,32,32,32,0,0,3
Anambra,2001,4,57,57,57,0,0,4
Anambra,2002,5,63,63,63,0,0,5
Anambra,2005,3,7,7,23,0,0,3
Anambra,2006,4,80,80,91,0,4,0
Anambra,2007,1,1,1,1,0,0,1
Anambra,2008,2,7,7,7,0,2,0
Anambra,2011,1,0,0,4,0,0,1
Anambra,2014,1,1,1,1,0,0,1
Anambra,2015,3,13,13,13,0,0,3
Anambra,2016,3,27,27,27,0,0,3
Anambra,2017,2,2,2,2,0,2,0
Anambra,2018,4,19,19,19,0,1,3
Anambra,2019,4,10,7,13,0,3,1
Anambra,2020,1,2,0,2,0,0,1
Anambra,2021,15,26,16,56,10,1,4
Anambra,2022,17,51,45,83,12,0,5
Anambra,2023,17,63,56,64,15,1,1
Anambra,2024,30,70,61,95,17,10,3
Anambra,2025,10,23,8,36,6,2,2
Bauchi,1991,2,150,100,250,0,2,0
Bauchi,2006,2,25,25,25,0,2,0
Bauchi,2007,2,7,7,9,0,2,0
Bauchi,2009,3,64,61,76,2,1,0
Bauchi,2010,5,6,6,12,2,2,1
Bauchi,2011,20,108,91,225,8,11,1
Bauchi,2012,12,44,44,60,4,2,6
Bauchi,2013,3,1,1,7,2,0,1
Bauchi,2014,11,63,58,79,4,0,7
Bauchi,2015,2,0,0,8,2,0,0
Bauchi,2019,1,3,3,3,0,1,0
Bauchi,2020,2,11,11,12,0,1,1
Bauchi,2023,1,1,1,1,0,1,0
Bauchi,2024,2,2,0,2,0,0,2
Bauchi,2025,3,3,3,3,0,3,0
Bayelsa,1997,1,3,3,5,0,0,1
Bayelsa,1998,3,19,19,23,0,0,3
Bayelsa,1999,12,2500,2500,2576,0,0,12
Bayelsa,2000,1,2,2,2,0,1,0
Bayelsa,2002,3,41,41,61,0,2,1
Bayelsa,2003,3,43,43,51,0,3,0
Bayelsa,2004,1,7,7,7,0,0,1
Bayelsa,2008,3,6,6,6,0,2,1
Bayelsa,2009,2,5,5,5,0,2,0
Bayelsa,2011,5,23,23,26,0,3,2
Bayelsa,2012,3,3,3,3,0,1,2
Bayelsa,2016,2,8,8,8,0,2,0
Bayelsa,2019,4,4,2,9,0,3,1
Bayelsa,2020,3,7,7,10,0,2,1
Bayelsa,2022,6,9,9,9,0,6,0
Bayelsa,2023,1,1,1,1,0,1,0
Bayelsa,2024,2,2,2,2,0,1,1
Bayelsa,2025,3,4,3,4,0,3,0
Benue,1998,1,32,32,32,0,1,0
Benue,2001,8,684,684,704,0,2,6
Benue,2003,2,17,17,17,0,1,1
Benue,2004,10,439,439,458,0,10,0
Benue,2005,3,17,17,17,0,2,1
Benue,2008,1,1,1,3,0,1,0
Benue,2010,1,4,4,4,0,1,0
Benue,2011,12,177,168,221,0,11,1
Benue,2012,11,81,81,96,0,11,0
Benue,2013,29,286,286,319,0,29,0
Benue,2014,19,56,56,177,0,19,0
Benue,2015,11,215,164,272,0,11,0
Benue,2016,28,282,282,528,0,28,0
Benue,2017,18,89,80,119,0,18,0
Benue,2018,60,354,342,454,0,58,2
Benue,2019,21,108,108,151,0,21,0
Benue,2020,15,34,25,48,0,15,0
Benue,2021,25,211,184,216,0,23,2
Benue,2022,29,190,121,231,0,29,0
Benue,2023,45,368,358,402,0,41,4
